file,line,label,pattern,snippet
autodense/plugin/src/main/java/autodense/util/OverlayExporter.java,5,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.gui.Roi;
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/AnnulusBackground.java,3,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.ImagePlus;
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/AnnulusBackground.java,4,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.process.ImageProcessor;
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/AnnulusBackground.java,5,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.process.FloatProcessor;
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/AssistBandTool.java,6,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.IJ;
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/AssistBandTool.java,7,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.ImagePlus;
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/AssistBandTool.java,8,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.gui.ImageCanvas;
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/AssistBandTool.java,9,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.gui.Overlay;
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/AssistColonyTool.java,6,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.ImagePlus;
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/AssistColonyTool.java,7,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.gui.OvalRoi;
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/AssistColonyTool.java,8,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.gui.Overlay;
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/AssistColonyTool.java,9,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.process.ImageProcessor;
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/AssistColonyTool.java,10,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.process.ByteProcessor;
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/AsyncImageProcessor.java,4,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.ImagePlus;
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/BandDetector.java,5,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.ImagePlus;
